timestamp,price
1647866297.6118147,4921921.5
1647866337.4186492,4913461.0
1647866960.709266,4900662.0
1647867112.1912997,4887803.5
1647867311.2579381,4918116.5
1647867778.8058763,4903509.5
1647868140.1963444,4901913.0
1647868147.0360317,4892614.0
1647868607.4594638,4946271.0
1647868615.2223425,4891327.0
1647868862.4789171,4931913.5
1647868876.7548819,4908057.5
1647869147.9886057,4924954.0
1647869157.7694316,4920567.0
1647869414.3830073,4912673.5
1647869467.8274617,4936844.5
1647869929.2279835,4948256.5
1647869933.225716,4956670.0
1647870205.1229444,4955149.0
1647870213.208542,4947189.5
1647870535.6069937,4922072.0
1647870537.8788292,4938687.5
1647870809.294581,4931181.0
1647870817.354677,4931870.5
1647871101.6253264,4892192.5
1647871108.5217423,4916377.0
1647871402.8303354,4914508.0
1647871411.027386,4893876.5
